2, 510640
3, 873540
4, 1155350
5, 1232850
6, 1337500
7, 1715750
8, 1908650
9, 2194550
10, 1779490
11, 2161830
12, 2498390
13, 2699410
14, 3298760
15, 3500640
16, 4208040
17, 4643570
18, 4920430
19, 5682270
20, 6266900
21, 6438700
22, 7418030
23, 7679960
24, 8353420
25, 9302860
26, 10006940
27, 11234590
28, 12157190
29, 12989610
30, 14713250
31, 15050840
32, 15145900
33, 15670550
34, 17037830
35, 18291090
36, 20191790
37, 20199100
38, 21778820
39, 22335620
40, 24341700
41, 24702580
42, 26836010
43, 27979210
44, 29662610
45, 31921500
46, 32402330
47, 34287640
48, 35907090
49, 38179790
50, 38875070
