2, 805050
3, 1178270
4, 1202330
5, 1506800
6, 1916140
7, 1167590
8, 1129510
9, 1194030
10, 3113500
11, 1747020
12, 1610160
13, 1653030
14, 1880880
15, 2545350
16, 2406160
17, 2645120
18, 2765140
19, 3946560
20, 3700220
21, 3715400
22, 4185820
23, 4433910
24, 5043910
25, 5224300
26, 5167730
27, 5398400
28, 5380370
29, 5727660
30, 6043270
31, 6480390
32, 6766590
33, 7407930
34, 8151640
35, 8687870
36, 9231780
37, 9211870
38, 9734870
39, 10626700
40, 11036370
41, 11407530
42, 11885730
43, 12684750
44, 13444250
45, 13869200
46, 14881870
47, 15130060
48, 15988690
49, 16806300
50, 17314170
