2, 905240
3, 1065360
4, 1140720
5, 1521470
6, 2191170
7, 1908690
8, 2175110
9, 1750710
10, 1479820
11, 1346510
12, 1585340
13, 1651090
14, 1867270
15, 2077420
16, 2214890
17, 2548990
18, 3407400
19, 3723330
20, 3773870
21, 3433480
22, 3644370
23, 3938200
24, 4730850
25, 4928520
26, 4862540
27, 6088870
28, 5394720
29, 6035900
30, 6818470
31, 6469800
32, 6738300
33, 7194150
34, 7684730
35, 8206250
36, 8672390
37, 9032790
38, 9578950
39, 10540730
40, 11410390
41, 11295220
42, 11917070
43, 12653190
44, 13611400
45, 13589000
46, 14253730
47, 15373010
48, 15476970
49, 16334990
50, 16730320
2, 1307460
3, 2562820
4, 2846430
5, 4098740
6, 3228860
7, 4355840
8, 4642180
9, 6035520
10, 6615620
11, 7066980
12, 7533440
13, 9222680
14, 10496030
15, 11841050
16, 13347020
17, 13980000
18, 16476180
19, 18239400
20, 20201830
21, 21836810
22, 23876230
23, 26178570
24, 28361650
25, 30337600
26, 31911170
27, 34971640
28, 37659060
29, 40845450
30, 46432480
31, 50204590
32, 52550660
33, 56795240
34, 76852210
35, 63257020
36, 66122680
37, 67844520
38, 72155780
39, 75560470
40, 79804250
41, 83688650
42, 1064443260
43, 10276379030
44, 2403373280
45, 96718200
46, 99436470
47, 103202620
48, 109467420
49, 120479390
50, 126282350
